model,layer,k,seed,clusterer,transform,n_features,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,12,20,0,lloyd,whiten100_l2,100,0.342116117477417,0.038019128143787384,4.617835419387239,15.360979871576122,0.4257070307048623,0.4325,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,lloyd,whiten100_l2,100,0.342116117477417,0.0376310870051384,4.600416187434807,15.39339556264461,0.43203608923476067,0.448,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,lloyd,whiten100_l2,100,0.342116117477417,0.03892926126718521,4.669742079618393,15.275695727566147,0.41715672623106376,0.4375,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,lloyd,whiten100_l2,100,0.342116117477417,0.03812764212489128,4.555259252680846,15.405113769733566,0.43612318146695356,0.442,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,lloyd,whiten100_l2,100,0.342116117477417,0.04003065824508667,4.5088335901626735,15.443782053523478,0.4224580753455703,0.4215,9.214430610882118e-05,95.43193817138672
pretrained,12,20,0,spherical,whiten100_l2,100,0.342116117477417,0.038749709725379944,4.208210191931887,14.923193343129896,0.4549107631878221,0.478,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,spherical,whiten100_l2,100,0.342116117477417,0.040008533746004105,4.230745257991832,15.100415444415813,0.4512389785201165,0.4625,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,spherical,whiten100_l2,100,0.342116117477417,0.03856642544269562,4.1595375761878115,15.11277350091515,0.4521630090598552,0.4525,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,spherical,whiten100_l2,100,0.342116117477417,0.03836153447628021,4.259712964876703,14.85503100925629,0.43874059326553083,0.4505,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,spherical,whiten100_l2,100,0.342116117477417,0.0377441942691803,4.319109800500669,14.784862052841452,0.4330086390137266,0.44,9.214430610882118e-05,95.43193817138672
pretrained,12,20,0,agglo_cosine,whiten100_l2,100,0.342116117477417,0.020793437957763672,4.883532724717023,10.985457673343438,0.34345470761510494,0.3495,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,agglo_cosine,whiten100_l2,100,0.342116117477417,0.020793437957763672,4.883532724717023,10.985457673343438,0.34345470761510494,0.3495,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,agglo_cosine,whiten100_l2,100,0.342116117477417,0.020793437957763672,4.883532724717023,10.985457673343438,0.34345470761510494,0.3495,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,agglo_cosine,whiten100_l2,100,0.342116117477417,0.020793437957763672,4.883532724717023,10.985457673343438,0.34345470761510494,0.3495,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,agglo_cosine,whiten100_l2,100,0.342116117477417,0.020793437957763672,4.883532724717023,10.985457673343438,0.34345470761510494,0.3495,9.214430610882118e-05,95.43193817138672
pretrained,12,20,0,agglo_ward,whiten100_l2,100,0.342116117477417,0.017658226191997528,4.767807916314998,12.183187279748754,0.3448072124809108,0.3585,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,agglo_ward,whiten100_l2,100,0.342116117477417,0.017658226191997528,4.767807916314998,12.183187279748754,0.3448072124809108,0.3585,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,agglo_ward,whiten100_l2,100,0.342116117477417,0.017658226191997528,4.767807916314998,12.183187279748754,0.3448072124809108,0.3585,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,agglo_ward,whiten100_l2,100,0.342116117477417,0.017658226191997528,4.767807916314998,12.183187279748754,0.3448072124809108,0.3585,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,agglo_ward,whiten100_l2,100,0.342116117477417,0.017658226191997528,4.767807916314998,12.183187279748754,0.3448072124809108,0.3585,9.214430610882118e-05,95.43193817138672
pretrained,12,20,0,gmm_diag,whiten100_l2,100,0.342116117477417,0.0323653370141983,4.675416723272424,14.781587235104087,0.40646631403531414,0.39,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,gmm_diag,whiten100_l2,100,0.342116117477417,0.030808189883828163,4.407342228683313,14.904387612700253,0.42565424203916924,0.4075,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,gmm_diag,whiten100_l2,100,0.342116117477417,0.029684482142329216,4.497403867708359,14.316799863525622,0.37611978702314114,0.362,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,gmm_diag,whiten100_l2,100,0.342116117477417,0.03060295060276985,4.5117718245948994,14.684626551447009,0.40945006274403534,0.3965,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,gmm_diag,whiten100_l2,100,0.342116117477417,0.03244641050696373,4.506093596518494,14.696414956623506,0.42316836386518036,0.4045,9.214430610882118e-05,95.43193817138672
pretrained,12,20,0,gmm_full,whiten100_l2,100,0.342116117477417,0.03573889285326004,4.650567650152659,14.968463161412444,0.420038845341219,0.429,9.214430610882118e-05,95.43193817138672
pretrained,12,20,1,gmm_full,whiten100_l2,100,0.342116117477417,0.03739718720316887,4.601072749546436,15.339579453144706,0.437450907321421,0.4145,9.214430610882118e-05,95.43193817138672
pretrained,12,20,2,gmm_full,whiten100_l2,100,0.342116117477417,0.036479223519563675,4.631548063984015,15.228790684337921,0.4240274661790827,0.433,9.214430610882118e-05,95.43193817138672
pretrained,12,20,3,gmm_full,whiten100_l2,100,0.342116117477417,0.03435485064983368,4.670408662213783,14.622639780937403,0.4105583469503325,0.4025,9.214430610882118e-05,95.43193817138672
pretrained,12,20,4,gmm_full,whiten100_l2,100,0.342116117477417,0.03564038127660751,4.729073129496136,14.799342401670753,0.415195694580563,0.4075,9.214430610882118e-05,95.43193817138672
