model,pooling,recipe,transform,clusterer,k,n_runs,subset_fraction,subset_seed,cluster_seed,transform_fit_scope,mean_ari,std_ari,min_ari,max_ari,n_pairs,elapsed_s,run_nmi_mean,run_nmi_std,run_nmi_min,run_nmi_max,run_purity_mean,run_purity_std,run_purity_min,run_purity_max
pretrained,layer12,baseline,l2,lloyd,20,50,0.8,0,0,subset,0.46351088714034466,0.044684479897977566,0.3562462499373628,0.6770490867361162,1225,98.99078440666199,0.36729123662793234,0.010699632453378592,0.3431019981959987,0.3921734270007663,0.33456,0.016640805268976613,0.3035,0.3745
pretrained,layer12,best,whiten100_l2,spherical,20,50,0.8,0,0,subset,0.4501998670319808,0.03414350639597792,0.34406296575245526,0.5642439518795618,1225,37.256574392318726,0.4305846805267531,0.010242578401642046,0.40370580807657097,0.4517585755648152,0.4456900000000001,0.014649535828824075,0.4125,0.483
random_seed1,layer12,baseline,l2,lloyd,20,50,0.8,0,0,subset,0.6400854279741636,0.07689216825800568,0.41195912143780167,0.8699044258757338,1225,82.11810612678528,0.05229617669078591,0.0027504563146306085,0.04769653890670705,0.06481174764884588,0.10886,0.0026039201216627233,0.102,0.1155
random_seed1,layer12,best,whiten100_l2,spherical,20,50,0.8,0,0,subset,0.22523577201122824,0.023547186188195898,0.15285315438385733,0.3134058322565424,1225,39.46635317802429,0.05845093956070638,0.004357008705622094,0.04965175620168592,0.06918816808765392,0.12047999999999998,0.004436169518852948,0.1115,0.13
