cluster_id,size,major_topic,major_topic_fraction,top_3_topics
9,235,soc.religion.christian,0.09361702127659574,soc.religion.christian(22); alt.atheism(19); rec.autos(18)
6,202,comp.os.ms-windows.misc,0.07920792079207921,comp.os.ms-windows.misc(16); sci.med(15); sci.space(14)
10,177,soc.religion.christian,0.12429378531073447,soc.religion.christian(22); sci.med(15); alt.atheism(12)
1,173,rec.motorcycles,0.09826589595375723,rec.motorcycles(17); comp.sys.ibm.pc.hardware(15); sci.space(14)
4,158,comp.sys.mac.hardware,0.08227848101265822,comp.sys.mac.hardware(13); comp.os.ms-windows.misc(13); rec.sport.baseball(13)
11,158,talk.politics.mideast,0.06962025316455696,talk.politics.mideast(11); comp.windows.x(11); comp.os.ms-windows.misc(11)
13,151,rec.sport.baseball,0.11920529801324503,rec.sport.baseball(18); sci.space(13); sci.electronics(11)
0,139,talk.politics.mideast,0.23741007194244604,talk.politics.mideast(33); soc.religion.christian(24); sci.space(15)
14,131,comp.windows.x,0.1297709923664122,comp.windows.x(17); comp.graphics(14); comp.sys.mac.hardware(13)
3,98,rec.sport.baseball,0.15306122448979592,rec.sport.baseball(15); rec.motorcycles(8); comp.sys.ibm.pc.hardware(6)
2,75,comp.graphics,0.16,comp.graphics(12); comp.windows.x(10); misc.forsale(9)
15,59,sci.med,0.13559322033898305,sci.med(8); comp.windows.x(6); comp.os.ms-windows.misc(6)
17,54,comp.windows.x,0.14814814814814814,comp.windows.x(8); talk.politics.misc(5); comp.os.ms-windows.misc(5)
12,48,comp.sys.ibm.pc.hardware,0.14583333333333334,comp.sys.ibm.pc.hardware(7); comp.windows.x(5); rec.sport.hockey(5)
19,45,misc.forsale,0.3333333333333333,misc.forsale(15); sci.space(6); comp.sys.ibm.pc.hardware(5)
5,41,comp.windows.x,0.0975609756097561,comp.windows.x(4); rec.sport.baseball(4); rec.motorcycles(4)
8,17,sci.electronics,0.11764705882352941,sci.electronics(2); alt.atheism(2); sci.space(2)
16,15,talk.politics.misc,0.2,talk.politics.misc(3); comp.sys.mac.hardware(2); comp.sys.ibm.pc.hardware(2)
7,14,talk.politics.misc,0.14285714285714285,talk.politics.misc(2); sci.electronics(2); sci.med(2)
18,10,talk.religion.misc,0.2,talk.religion.misc(2); comp.graphics(2); misc.forsale(2)
