model,layer,k,mode,seed,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,0,20,centered,0,0.06661952286958694,2.069221961938264,106.46750181830507,0.06177816206747426,0.1145,0.7075027227401733,15.771319389343262
pretrained,1,20,centered,0,0.021792152896523476,2.6108127076386953,69.96218082996464,0.19570585460171058,0.1705,0.7252553701400757,22.256269454956055
pretrained,2,20,centered,0,0.03290628641843796,2.6925399228134075,72.82910042939514,0.2303150801401595,0.1995,0.7708647847175598,20.326431274414062
pretrained,3,20,centered,0,0.03187904879450798,2.562438467913091,79.67583809827299,0.19463214693494865,0.1735,0.7867611050605774,17.626256942749023
pretrained,4,20,centered,0,0.038885362446308136,2.67617550341946,81.09344749829086,0.1721401643097343,0.1585,0.8126251697540283,14.763115882873535
pretrained,5,20,centered,0,0.03276043012738228,2.6949684067723805,77.94060809701944,0.20812138040211303,0.1775,0.8210451602935791,14.335603713989258
pretrained,6,20,centered,0,0.02497331239283085,2.8347308726266727,75.54234792979021,0.18640875606909169,0.1605,0.8154336214065552,14.338606834411621
pretrained,7,20,centered,0,0.023148873820900917,3.020092917333333,71.29070632508339,0.17575124508488457,0.1625,0.8094843626022339,14.825540542602539
pretrained,8,20,centered,0,0.020448526367545128,3.134758525070672,67.66550967430403,0.19768983927693579,0.1805,0.7994169592857361,15.951176643371582
pretrained,9,20,centered,0,0.019300013780593872,3.0954770900076167,59.02318251357661,0.22873677790955343,0.2055,0.7588948607444763,20.716650009155273
pretrained,10,20,centered,0,0.028186693787574768,3.0281395239925226,51.121421309711025,0.3118517416160476,0.278,0.7448015809059143,28.267011642456055
pretrained,11,20,centered,0,0.028390226885676384,3.02680648386726,50.180007200410984,0.3509667012135492,0.318,0.787262499332428,31.744735717773438
pretrained,12,20,centered,0,0.028814781457185745,3.212920669202549,43.89241459268589,0.3640948156520263,0.3115,0.7463680505752563,37.735260009765625
random_seed1,0,20,centered,0,0.03888740763068199,2.4802558450552064,104.43639513602795,0.052422675597065586,0.1115,0.9716814756393433,14.335025787353516
random_seed1,1,20,centered,0,0.04904728755354881,2.158450316413792,101.82671775225151,0.04776552532693838,0.105,0.9728988409042358,14.752400398254395
random_seed1,2,20,centered,0,0.040331266820430756,2.474393846336546,99.35239507276702,0.051422871154986796,0.109,0.9724534749984741,15.590980529785156
random_seed1,3,20,centered,0,0.05061081051826477,2.2711313554401533,96.69231338060325,0.0501545793642144,0.11,0.972809910774231,16.42295265197754
random_seed1,4,20,centered,0,0.04977433383464813,2.1224992131685343,97.57501294058301,0.05165367763678012,0.111,0.9724811315536499,16.75243377685547
random_seed1,5,20,centered,0,0.03444858640432358,2.269528644257318,95.04703106699638,0.052580438005538285,0.109,0.9733359217643738,16.820425033569336
random_seed1,6,20,centered,0,0.04318773001432419,2.7275567557546023,92.42438065176046,0.049454489589242236,0.1055,0.9741000533103943,17.46736717224121
random_seed1,7,20,centered,0,0.03468456491827965,2.398735333772238,93.27926916011769,0.04741574648419064,0.108,0.9737972617149353,17.128528594970703
random_seed1,8,20,centered,0,0.028269950300455093,2.5414018753589085,93.79744785843927,0.0632282874492385,0.114,0.9719198346138,16.972148895263672
random_seed1,9,20,centered,0,0.03973216190934181,2.4080577742458495,93.40589766482785,0.05269208926195875,0.109,0.9703968167304993,16.659696578979492
random_seed1,10,20,centered,0,0.034100621938705444,2.655806429174758,92.73110843470798,0.05717539944374806,0.1105,0.9693695306777954,16.549251556396484
random_seed1,11,20,centered,0,0.042674824595451355,2.5394448072041227,92.69119062759113,0.04932131768211869,0.1065,0.9708625674247742,16.938135147094727
random_seed1,12,20,centered,0,0.03690316155552864,2.719984959027156,91.97623875485284,0.05080473870419166,0.1095,0.9699324369430542,16.827922821044922
