model,layer,k,mode,seed,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,0,20,l2,0,0.04296927526593208,2.925659036214658,81.44920758782285,0.07118064654895805,0.1235,0.7075027227401733,15.771319389343262
pretrained,0,20,l2,1,0.06427275389432907,3.0499034447417226,80.5493442554637,0.07318785092985637,0.1285,0.7075027227401733,15.771319389343262
pretrained,0,20,l2,2,0.052515171468257904,2.8972383993347846,81.28098607317055,0.07757461378274032,0.1315,0.7075027227401733,15.771319389343262
pretrained,0,20,l2,3,0.050706010311841965,2.883163236072489,81.2760569089321,0.07478131156027233,0.1235,0.7075027227401733,15.771319389343262
pretrained,0,20,l2,4,0.05506553873419762,3.0502515808344954,80.81198531203333,0.07711148957539873,0.1245,0.7075027227401733,15.771319389343262
pretrained,1,20,l2,0,0.04105997458100319,2.8792109064293894,57.48953887847764,0.21507682907901193,0.201,0.7252553701400757,22.256269454956055
pretrained,1,20,l2,1,0.041422151029109955,2.834002610085121,57.86140965846999,0.2154397146456258,0.197,0.7252553701400757,22.256269454956055
pretrained,1,20,l2,2,0.0445614792406559,2.817538411128596,57.877613649645454,0.23450531401703867,0.206,0.7252553701400757,22.256269454956055
pretrained,1,20,l2,3,0.04820078983902931,3.0073645289654385,57.64209022953236,0.20978997410233935,0.1945,0.7252553701400757,22.256269454956055
pretrained,1,20,l2,4,0.04786595329642296,2.7819925156687026,57.71908045689344,0.22214354926374974,0.204,0.7252553701400757,22.256269454956055
pretrained,2,20,l2,0,0.04485858976840973,2.9437944974037795,61.831246761175386,0.2480210533072107,0.225,0.7708647847175598,20.326431274414062
pretrained,2,20,l2,1,0.04540061578154564,2.962432214389474,61.73120958017737,0.2462304424345396,0.2075,0.7708647847175598,20.326431274414062
pretrained,2,20,l2,2,0.04997136816382408,2.8734094116240625,62.05492656219779,0.23848789717575966,0.222,0.7708647847175598,20.326431274414062
