model,pooling,clusterer,k,seed,whiten_dim,n_features,svd_time_s,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,layer12,spherical,20,0,10,10,0.34003210067749023,0.0007052421569824219,0.16737578809261322,1.679697661547668,144.9369696228257,0.30436145011697785,0.276,0.005073638167232275,9.335713386535645
pretrained,layer12,spherical,20,1,10,10,0.34003210067749023,0.0007052421569824219,0.16495248675346375,1.6686200667113678,144.7926540825568,0.31095680170724826,0.281,0.005073638167232275,9.335713386535645
pretrained,layer12,spherical,20,2,10,10,0.34003210067749023,0.0007052421569824219,0.16440993547439575,1.7555055545607074,144.645632759278,0.2971724602166126,0.274,0.005073638167232275,9.335713386535645
pretrained,layer12,spherical,20,3,10,10,0.34003210067749023,0.0007052421569824219,0.16686609387397766,1.6665174564250804,144.4691926178443,0.30895388556017717,0.292,0.005073638167232275,9.335713386535645
pretrained,layer12,spherical,20,4,10,10,0.34003210067749023,0.0007052421569824219,0.16425183415412903,1.6630435099412721,145.9214301379072,0.3057956633167639,0.283,0.005073638167232275,9.335713386535645
pretrained,layer12,spherical,20,0,20,20,0.34003210067749023,0.0006132125854492188,0.11553888022899628,2.0986111007427906,67.54960865396782,0.349123994669724,0.346,0.0016252122586593032,18.883562088012695
pretrained,layer12,spherical,20,1,20,20,0.34003210067749023,0.0006132125854492188,0.11501432210206985,2.1296002280789783,67.23621961112673,0.3538879338909862,0.355,0.0016252122586593032,18.883562088012695
pretrained,layer12,spherical,20,2,20,20,0.34003210067749023,0.0006132125854492188,0.11520300060510635,2.136940369575595,67.22413760590604,0.3533723908376255,0.339,0.0016252122586593032,18.883562088012695
pretrained,layer12,spherical,20,3,20,20,0.34003210067749023,0.0006132125854492188,0.11398445069789886,2.1552438285181834,66.94281886093061,0.3535377575190684,0.349,0.0016252122586593032,18.883562088012695
pretrained,layer12,spherical,20,4,20,20,0.34003210067749023,0.0006132125854492188,0.11466342210769653,2.153153129837136,67.08755942279927,0.3533994729329236,0.343,0.0016252122586593032,18.883562088012695
pretrained,layer12,spherical,20,0,50,50,0.34003210067749023,0.0009360313415527344,0.06760667264461517,3.074786033386012,28.572671988384624,0.4321329833353943,0.441,0.0004665164742618799,47.78717041015625
pretrained,layer12,spherical,20,1,50,50,0.34003210067749023,0.0009360313415527344,0.06922321021556854,3.091460118170324,28.560955016137058,0.4273295871810155,0.4525,0.0004665164742618799,47.78717041015625
pretrained,layer12,spherical,20,2,50,50,0.34003210067749023,0.0009360313415527344,0.06846661120653152,3.1083512275033853,28.677009754694986,0.42357254432566666,0.4275,0.0004665164742618799,47.78717041015625
pretrained,layer12,spherical,20,3,50,50,0.34003210067749023,0.0009360313415527344,0.06926757842302322,3.0798636927453797,28.71017349794576,0.43141252898040455,0.443,0.0004665164742618799,47.78717041015625
pretrained,layer12,spherical,20,4,50,50,0.34003210067749023,0.0009360313415527344,0.06748033314943314,3.133033521284836,28.46075325409267,0.42231849512702707,0.4315,0.0004665164742618799,47.78717041015625
pretrained,layer12,spherical,20,0,100,100,0.34003210067749023,0.0015866756439208984,0.038749709725379944,4.208210191931887,14.923193343129896,0.4549107631878221,0.478,9.214430610882118e-05,95.43193817138672
pretrained,layer12,spherical,20,1,100,100,0.34003210067749023,0.0015866756439208984,0.040008533746004105,4.230745257991832,15.100415444415813,0.4512389785201165,0.4625,9.214430610882118e-05,95.43193817138672
pretrained,layer12,spherical,20,2,100,100,0.34003210067749023,0.0015866756439208984,0.03856642544269562,4.1595375761878115,15.11277350091515,0.4521630090598552,0.4525,9.214430610882118e-05,95.43193817138672
pretrained,layer12,spherical,20,3,100,100,0.34003210067749023,0.0015866756439208984,0.03836153447628021,4.259712964876703,14.85503100925629,0.43874059326553083,0.4505,9.214430610882118e-05,95.43193817138672
pretrained,layer12,spherical,20,4,100,100,0.34003210067749023,0.0015866756439208984,0.0377441942691803,4.319109800500669,14.784862052841452,0.4330086390137266,0.44,9.214430610882118e-05,95.43193817138672
pretrained,layer12,spherical,20,0,150,150,0.34003210067749023,0.0024690628051757812,0.02625938132405281,5.175027431847456,10.066289703837132,0.43548568050522357,0.4605,-7.694413943681866e-05,142.23617553710938
pretrained,layer12,spherical,20,1,150,150,0.34003210067749023,0.0024690628051757812,0.02547972835600376,5.167482160209126,9.915249105224461,0.437484851005653,0.4485,-7.694413943681866e-05,142.23617553710938
pretrained,layer12,spherical,20,2,150,150,0.34003210067749023,0.0024690628051757812,0.024827055633068085,5.134829509358694,9.933280897304101,0.4240599976920189,0.4355,-7.694413943681866e-05,142.23617553710938
pretrained,layer12,spherical,20,3,150,150,0.34003210067749023,0.0024690628051757812,0.025554779917001724,5.154851312648232,9.965489378519145,0.41225437840909385,0.436,-7.694413943681866e-05,142.23617553710938
pretrained,layer12,spherical,20,4,150,150,0.34003210067749023,0.0024690628051757812,0.024508964270353317,5.167825370496859,9.895128121455235,0.3936985246799193,0.414,-7.694413943681866e-05,142.23617553710938
pretrained,layer12,spherical,20,0,200,200,0.34003210067749023,0.003138303756713867,0.01773660257458687,5.929988267925495,7.394696063551098,0.4086501598535436,0.4625,-0.0001688929187366739,188.3663787841797
pretrained,layer12,spherical,20,1,200,200,0.34003210067749023,0.003138303756713867,0.018466373905539513,5.836992477218507,7.533789483036643,0.4166430140365723,0.4195,-0.0001688929187366739,188.3663787841797
pretrained,layer12,spherical,20,2,200,200,0.34003210067749023,0.003138303756713867,0.019724400714039803,5.776629939234166,7.674245719556492,0.43246328154252023,0.468,-0.0001688929187366739,188.3663787841797
pretrained,layer12,spherical,20,3,200,200,0.34003210067749023,0.003138303756713867,0.018751807510852814,5.7558065735290045,7.469411731616462,0.41295671621038377,0.448,-0.0001688929187366739,188.3663787841797
pretrained,layer12,spherical,20,4,200,200,0.34003210067749023,0.003138303756713867,0.01738695614039898,5.908242218536799,7.380907050143326,0.39263895218159,0.4035,-0.0001688929187366739,188.3663787841797
pretrained,layer12,spherical,20,0,300,300,0.34003210067749023,0.004105329513549805,0.010812174528837204,7.248657835340898,4.877111846068513,0.34166850356404477,0.3895,-0.0002763236698228866,279.55902099609375
pretrained,layer12,spherical,20,1,300,300,0.34003210067749023,0.004105329513549805,0.00996389053761959,7.316690343893038,4.740120089111131,0.3125987945137093,0.3545,-0.0002763236698228866,279.55902099609375
pretrained,layer12,spherical,20,2,300,300,0.34003210067749023,0.004105329513549805,0.010446018539369106,7.176970009031874,4.8770977327430645,0.32507254663137575,0.342,-0.0002763236698228866,279.55902099609375
pretrained,layer12,spherical,20,3,300,300,0.34003210067749023,0.004105329513549805,0.010170605033636093,7.216733279666178,4.718537596721191,0.2977823865099137,0.367,-0.0002763236698228866,279.55902099609375
pretrained,layer12,spherical,20,4,300,300,0.34003210067749023,0.004105329513549805,0.010650696232914925,7.094412458106774,4.928806012338014,0.35536618153389704,0.407,-0.0002763236698228866,279.55902099609375
pretrained,layer12,spherical,20,0,500,500,0.34003210067749023,0.007941961288452148,0.0024030720815062523,9.72771186310192,2.4091915014793868,0.12307509603933223,0.21,-0.00038592086639255285,464.5767822265625
pretrained,layer12,spherical,20,1,500,500,0.34003210067749023,0.007941961288452148,0.0023584961891174316,9.793171741733882,2.4023639055274715,0.12660300968019328,0.223,-0.00038592086639255285,464.5767822265625
pretrained,layer12,spherical,20,2,500,500,0.34003210067749023,0.007941961288452148,0.0018314432818442583,9.801806522440344,2.3181526765878493,0.12166000233731213,0.2165,-0.00038592086639255285,464.5767822265625
pretrained,layer12,spherical,20,3,500,500,0.34003210067749023,0.007941961288452148,0.0022000279277563095,9.774176136167338,2.3841335269637547,0.11851484826734048,0.2095,-0.00038592086639255285,464.5767822265625
pretrained,layer12,spherical,20,4,500,500,0.34003210067749023,0.007941961288452148,0.0021631186828017235,9.870949493291553,2.35305070879909,0.1268744010860749,0.205,-0.00038592086639255285,464.5767822265625
pretrained,layer12,spherical,20,0,768,768,0.34003210067749023,0.019894123077392578,-0.0004745526530314237,12.126409819672514,1.4622095025426936,0.05800546559744424,0.1455,0.0009742046240717173,725.7504272460938
