model,layer,k,mode,seed,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,0,20,raw,0,0.06661952286958694,2.069221977143143,106.46750189150622,0.06177816206747426,0.1145,0.7075027227401733,15.771319389343262
pretrained,1,20,raw,0,0.021792152896523476,2.6108126768492275,69.96218080198759,0.19570585460171058,0.1705,0.7252553701400757,22.256269454956055
pretrained,2,20,raw,0,0.03290628641843796,2.6925401593858935,72.82910049205077,0.2303150801401595,0.1995,0.7708647847175598,20.326431274414062
pretrained,3,20,raw,0,0.03187904879450798,2.5624386549012255,79.67583811681769,0.19463214693494865,0.1735,0.7867611050605774,17.626256942749023
pretrained,4,20,raw,0,0.03888535872101784,2.6761754745345447,81.09344746323043,0.1721401643097343,0.1585,0.8126251697540283,14.763115882873535
pretrained,5,20,raw,0,0.03276043012738228,2.694968311261151,77.94060809400156,0.20812138040211303,0.1775,0.8210451602935791,14.335603713989258
pretrained,6,20,raw,0,0.02497331239283085,2.8347307435862072,75.5423479065449,0.18640875606909169,0.1605,0.8154336214065552,14.338606834411621
pretrained,7,20,raw,0,0.023148873820900917,3.0200930554086374,71.29070632087459,0.17575124508488457,0.1625,0.8094843626022339,14.825540542602539
pretrained,8,20,raw,0,0.020448528230190277,3.1347585299668035,67.6655096886664,0.19768983927693579,0.1805,0.7994169592857361,15.951176643371582
pretrained,9,20,raw,0,0.019300011917948723,3.0954771179188327,59.02318248708432,0.22873677790955343,0.2055,0.7588948607444763,20.716650009155273
pretrained,10,20,raw,0,0.029576504603028297,3.015299470451547,51.26385550010381,0.3135867182330962,0.28,0.7448015809059143,28.267011642456055
pretrained,11,20,raw,0,0.028390228748321533,3.0268064441530296,50.18000717576331,0.3509667012135492,0.318,0.787262499332428,31.744735717773438
pretrained,12,20,raw,0,0.028814781457185745,3.212920648902254,43.89241458807272,0.3640948156520263,0.3115,0.7463680505752563,37.735260009765625
random_seed1,0,20,raw,0,0.03888740763068199,2.4802559932574266,104.43639504368404,0.052422675597065586,0.1115,0.9716814756393433,14.335025787353516
random_seed1,1,20,raw,0,0.04904728755354881,2.1584503856730546,101.82671774643649,0.04776552532693838,0.105,0.9728988409042358,14.752400398254395
random_seed1,2,20,raw,0,0.040331266820430756,2.4743938654971203,99.3523951327524,0.051422871154986796,0.109,0.9724534749984741,15.590980529785156
random_seed1,3,20,raw,0,0.05061081051826477,2.2711310194742644,96.69231336090326,0.0501545793642144,0.11,0.972809910774231,16.42295265197754
random_seed1,4,20,raw,0,0.049774330109357834,2.1224991151869244,97.57501292079137,0.05165367763678012,0.111,0.9724811315536499,16.75243377685547
random_seed1,5,20,raw,0,0.03444858640432358,2.2695283737142833,95.04703106377669,0.052580438005538285,0.109,0.9733359217643738,16.820425033569336
random_seed1,6,20,raw,0,0.04318773001432419,2.7275566723792006,92.42438070123632,0.049454489589242236,0.1055,0.9741000533103943,17.46736717224121
random_seed1,7,20,raw,0,0.03468456491827965,2.3987351832896135,93.27926914143463,0.04741574648419064,0.108,0.9737972617149353,17.128528594970703
random_seed1,8,20,raw,0,0.028269954025745392,2.5414018598798136,93.7974478656152,0.0632282874492385,0.114,0.9719198346138,16.972148895263672
random_seed1,9,20,raw,0,0.03973216190934181,2.4080577605570257,93.40589760186162,0.05269208926195875,0.109,0.9703968167304993,16.659696578979492
random_seed1,10,20,raw,0,0.034100621938705444,2.655806314259693,92.73110843277503,0.05717539944374806,0.1105,0.9693695306777954,16.549251556396484
random_seed1,11,20,raw,0,0.042674824595451355,2.539444724968359,92.69119060865059,0.04932131768211869,0.1065,0.9708625674247742,16.938135147094727
random_seed1,12,20,raw,0,0.03690316155552864,2.7199852496000125,91.97623877032714,0.05080473870419166,0.1095,0.9699324369430542,16.827922821044922
